Candidate_ID,Name,Age,Age_Range,Gender,Employment_Status_at_time_of_offer,Location,Role,Source,Applied_Date,Current_Status,Offer_Date,Promised_Joining,Join_Date,Joining_Gap,Action_Needed
HNLYLON,Sarah Martin,35,Middle Aged,Male,Employed,London,Engineer,Campus,23-05-2025,Offered,08-06-2025,30 Days,,,Follow up
DR5YLON,Alice Smith,29,Young,Female,Unemployed,London,Engineer,Campus,08-05-2025,Offered,27-05-2025,15 Days,,,Follow up
HO3PNYC,Grace Marie Jackson,45,Aging,Female,Unemployed,New York,Engineer,Campus,03-05-2025,Interviewed,,,,,Await Decision
69HWSGP,Diana Louise Smith,23,Young,Female,Unemployed,Singapore,Engineer,Campus,14-05-2025,Interviewed,,,,,Await Decision
D9N8SGP,Sarah Dean Robinson,43,Aging,Male,Unemployed,Singapore,Engineer,Job Portal,24-04-2025,Offered,14-05-2025,30 Days,,,Follow up
S4G7LON,Daniel Marie Taylor,22,Young,Female,Unemployed,London,Manager,Campus,14-05-2025,Accepted,02-06-2025,Immediately,,,Send reminder
W8UYLON,Ava Ann Jackson,34,Middle Aged,Male,Unemployed,London,Designer,Internal,05-05-2025,Interviewed,,,,,Await Decision
DGNMLON,Emily Ray Brown,42,Aging,Male,Unemployed,London,Designer,Referral,09-05-2025,Offered,25-05-2025,30 Days,,12,Follow up
0TI4HYD,Bob Ann Martinez,37,Middle Aged,Female,Employed,Hyderabad,Manager,Campus,03-05-2025,Offered,19-05-2025,15 Days,,,Follow up
STBNHYD,Emily Thompson,23,Young,Male,Employed,Hyderabad,Designer,Referral,01-05-2025,Interviewed,,,,,Await Decision
OXVYHYD,Ivan Sue Miller,37,Middle Aged,Female,Unemployed,Hyderabad,Manager,Referral,08-05-2025,Offered,23-05-2025,15 Days,,13,Follow up
5JZELON,David Rose Robinson,24,Young,Female,Student,London,Designer,Internal,08-05-2025,Offered,23-05-2025,30 Days,,,Follow up
W6NELON,Frank Victoria Martinez,24,Young,Male,Employed,London,Engineer,Job Portal,04-05-2025,Accepted,16-05-2025,Immediately,,,Send reminder
A2JVNYC,Alice Mae Davis,36,Middle Aged,Male,Employed,New York,Designer,Referral,26-04-2025,Offered,12-05-2025,15 Days,,,Follow up
2AOFHYD,Judy Louise Moore,43,Aging,Non-Binary,Employed,Hyderabad,Analyst,Referral,07-05-2025,Interviewed,,,,15,Await Decision
HO7XHYD,Ivan Rose Thompson,30,Middle Aged,Male,Employed,Hyderabad,Engineer,Job Portal,04-05-2025,Joined,18-05-2025,30 Days,30-05-2025,,No Action
US7BNYC,Grace Victoria Brown,34,Middle Aged,Male,Unemployed,New York,Designer,Job Portal,08-05-2025,Accepted,21-05-2025,15 Days,,,Send reminder
MXO1NYC,Bob Thomas Moore,44,Aging,Male,Unemployed,New York,Manager,Job Portal,02-05-2025,Interviewed,,,,,Await Decision
RXI9SGP,Judy William Davis,40,Middle Aged,Non-Binary,Employed,Singapore,Engineer,Internal,24-04-2025,Joined,04-05-2025,30 Days,17-05-2025,,No Action
EYNJHYD,David Jane Williams,29,Young,Male,Employed,Hyderabad,Engineer,Campus,06-05-2025,Accepted,19-05-2025,15 Days,,,Send reminder
X4C9HYD,Heidi Sue Anderson,36,Middle Aged,Male,Employed,Hyderabad,Designer,Referral,28-04-2025,Accepted,10-05-2025,15 Days,,,Send reminder
6DFJNYC,Michael Ann Thompson,28,Young,Female,Employed,New York,Manager,Internal,09-05-2025,Accepted,20-05-2025,30 Days,,11,Send reminder
W32JNYC,Michael Elizabeth Taylor,31,Middle Aged,Male,Unemployed,New York,Engineer,Job Portal,17-05-2025,Joined,28-05-2025,15 Days,12-06-2025,11,No Action
SL14SGP,Sarah Beth Jones,41,Aging,Female,Employed,Singapore,Designer,Campus,07-05-2025,Offered,18-05-2025,15 Days,,12,Follow up
DPJOLON,Charlie Jane Rodriguez,37,Middle Aged,Female,Employed,London,Analyst,Internal,02-05-2025,Accepted,18-05-2025,Immediately,,,Send reminder
VC96SGP,Heidi Clark,39,Middle Aged,Male,Employed,Singapore,Analyst,Internal,19-05-2025,Interviewed,,,,,Await Decision
28D7HYD,Sophia William Brown,39,Middle Aged,Non-Binary,Employed,Hyderabad,Manager,Internal,12-05-2025,Accepted,28-05-2025,15 Days,,,Send reminder
ZC71HYD,William Robinson,39,Middle Aged,Female,Employed,Hyderabad,Engineer,Internal,17-05-2025,Interviewed,,,,,Await Decision
YY49NYC,Sarah Thomas Taylor,40,Middle Aged,Male,Unemployed,New York,Manager,Job Portal,20-05-2025,Offered,08-06-2025,Immediately,,,Follow up
7N2ANYC,Frank Grace Williams,44,Aging,Non-Binary,Unemployed,New York,Analyst,Job Portal,17-05-2025,Joined,03-06-2025,15 Days,14-06-2025,,No Action
DE5ZHYD,David Marie Anderson,41,Aging,Female,Employed,Hyderabad,Engineer,Job Portal,04-05-2025,Joined,24-05-2025,30 Days,04-06-2025,,No Action
H04NSGP,Sarah Thomas Robinson,34,Middle Aged,Male,Employed,Singapore,Analyst,Job Portal,29-04-2025,Joined,19-05-2025,Immediately,31-05-2025,,No Action
8VD9SGP,Diana Louise Williams,40,Middle Aged,Female,Employed,Singapore,Engineer,Internal,19-05-2025,Offered,31-05-2025,30 Days,,,Follow up
DXKHHYD,Grace Thompson,36,Middle Aged,Female,Employed,Hyderabad,Designer,Campus,06-05-2025,Offered,21-05-2025,Immediately,,,Follow up
BXNFHYD,Sarah William Garcia,36,Middle Aged,Female,Unemployed,Hyderabad,Manager,Referral,20-05-2025,Offered,08-06-2025,30 Days,,,Follow up
934ESGP,Bob Ray Martinez,36,Middle Aged,Non-Binary,Unemployed,Singapore,Analyst,Campus,29-04-2025,Offered,17-05-2025,30 Days,,,Follow up
ACNKHYD,Grace Anderson,24,Young,Female,Employed,Hyderabad,Engineer,Internal,06-05-2025,Offered,17-05-2025,Immediately,,,Follow up
02IZSGP,Bob Scott Smith,31,Middle Aged,Male,Unemployed,Singapore,Designer,Campus,26-04-2025,Offered,12-05-2025,30 Days,,,Follow up
BTBQSGP,Olivia Lynn Anderson,44,Aging,Male,Unemployed,Singapore,Engineer,Referral,07-05-2025,Accepted,19-05-2025,15 Days,,,Send reminder
VWB7NYC,Ivan Lynn Moore,45,Aging,Female,Employed,New York,Designer,Campus,09-05-2025,Accepted,19-05-2025,Immediately,,,Send reminder
E4PSSGP,Ava Drew Jones,31,Middle Aged,Male,Employed,Singapore,Engineer,Job Portal,17-05-2025,Offered,29-05-2025,Immediately,,,Follow up
28DLSGP,Daniel Scott Clark,34,Middle Aged,Male,Unemployed,Singapore,Manager,Referral,28-04-2025,Interviewed,,,,,Await Decision
Y8GDHYD,Frank Ray Clark,33,Middle Aged,Female,Employed,Hyderabad,Engineer,Job Portal,06-05-2025,Interviewed,,,,11,Await Decision
NMZKSGP,Ivan Ann Anderson,28,Young,Female,Unemployed,Singapore,Designer,Referral,20-05-2025,Interviewed,,,,,Await Decision
28V1LON,Emily Lynn Rodriguez,35,Middle Aged,Male,Employed,London,Engineer,Referral,18-05-2025,Accepted,29-05-2025,15 Days,,,Send reminder
P9FPLON,Daniel Drew Harris,34,Middle Aged,Male,Unemployed,London,Engineer,Referral,28-04-2025,Interviewed,,,,,Await Decision
PEYSNYC,Bob Drew Brown,35,Middle Aged,Non-Binary,Unemployed,New York,Analyst,Campus,27-04-2025,Offered,10-05-2025,15 Days,,11,Follow up
4WRISGP,Olivia Anderson,32,Middle Aged,Male,Unemployed,Singapore,Designer,Campus,16-05-2025,Accepted,26-05-2025,15 Days,,,Send reminder
ZDS9NYC,Ava Ray Martinez,31,Middle Aged,Male,Employed,New York,Analyst,Campus,19-05-2025,Offered,03-06-2025,15 Days,,9,Follow up
SICTNYC,James Scott Brown,45,Aging,Male,Employed,New York,Engineer,Internal,05-05-2025,Accepted,18-05-2025,15 Days,,,Send reminder
USCCHYD,Sophia Ray Moore,44,Aging,Female,Employed,Hyderabad,Designer,Job Portal,27-04-2025,Joined,08-05-2025,Immediately,19-05-2025,,No Action
7K5RHYD,Alice Victoria Brown,25,Young,Male,Employed,Hyderabad,Engineer,Job Portal,26-04-2025,Offered,12-05-2025,15 Days,,,Follow up
92EBSGP,Charlie Dean Clark,34,Middle Aged,Male,Employed,Singapore,Designer,Referral,08-05-2025,Offered,21-05-2025,Immediately,,,Follow up
5FFRLON,Sophia William Robinson,39,Middle Aged,Female,Employed,London,Analyst,Internal,19-05-2025,Interviewed,,,,,Await Decision
J0PILON,Ava Drew Garcia,23,Young,Male,Unemployed,London,Engineer,Referral,10-05-2025,Joined,26-05-2025,30 Days,06-06-2025,,No Action
KYJKSGP,Daniel Drew Smith,33,Middle Aged,Female,Employed,Singapore,Manager,Internal,29-04-2025,Accepted,17-05-2025,15 Days,,,Send reminder
Q227SGP,Alice Thomas Jackson,36,Middle Aged,Female,Unemployed,Singapore,Engineer,Referral,18-05-2025,Joined,04-06-2025,Immediately,13-06-2025,10,No Action
LMYYLON,William Ann White,41,Aging,Female,Employed,London,Analyst,Internal,16-05-2025,Accepted,27-05-2025,Immediately,,,Send reminder
KZFLHYD,Michael Victoria Miller,36,Middle Aged,Female,Unemployed,Hyderabad,Engineer,Job Portal,12-05-2025,Accepted,31-05-2025,30 Days,,,Send reminder
SEWBLON,Ivan Dean Martin,23,Young,Male,Employed,London,Engineer,Job Portal,15-05-2025,Accepted,26-05-2025,30 Days,,,Send reminder
C2WULON,Ava Grace Jones,37,Middle Aged,Female,Unemployed,London,Designer,Campus,05-05-2025,Interviewed,,,,8,Await Decision
8W10SGP,Ivan Mae Jones,33,Middle Aged,Male,Employed,Singapore,Engineer,Internal,30-04-2025,Accepted,20-05-2025,Immediately,,11,Send reminder
VG3NNYC,Ivan Marie Martin,37,Middle Aged,Male,Employed,New York,Engineer,Referral,07-05-2025,Accepted,19-05-2025,15 Days,,,Send reminder
LP0YSGP,Sophia Marie Miller,45,Aging,Male,Unemployed,Singapore,Analyst,Referral,23-05-2025,Accepted,06-06-2025,30 Days,,11,Send reminder
TNSJSGP,Heidi Louise Brown,41,Aging,Female,Unemployed,Singapore,Analyst,Job Portal,20-05-2025,Joined,08-06-2025,15 Days,18-06-2025,,No Action
PEMVHYD,Ivan Elizabeth Thompson,39,Middle Aged,Female,Unemployed,Hyderabad,Manager,Job Portal,26-04-2025,Offered,11-05-2025,15 Days,,,Follow up
8SLVSGP,Frank Mae Jones,41,Aging,Male,Employed,Singapore,Manager,Internal,27-04-2025,Accepted,10-05-2025,15 Days,,12,Send reminder
QX71SGP,James Sue Robinson,27,Young,Male,Unemployed,Singapore,Engineer,Referral,11-05-2025,Offered,22-05-2025,Immediately,,14,Follow up
1IMJSGP,Eve Marie Jones,43,Aging,Female,Unemployed,Singapore,Designer,Internal,26-04-2025,Joined,09-05-2025,15 Days,17-05-2025,,No Action
DYF3LON,Alice Ray Martinez,32,Middle Aged,Female,Employed,London,Analyst,Referral,08-05-2025,Joined,18-05-2025,30 Days,29-05-2025,,No Action
RD7GSGP,Frank Jane Miller,44,Aging,Male,Unemployed,Singapore,Designer,Job Portal,17-05-2025,Interviewed,,,,,Await Decision
PNMLSGP,Ava Louise Brown,23,Young,Male,Unemployed,Singapore,Designer,Internal,22-05-2025,Joined,06-06-2025,30 Days,17-06-2025,,No Action
Y1QSSGP,Ivan Mae Taylor,28,Young,Male,Employed,Singapore,Designer,Internal,17-05-2025,Accepted,29-05-2025,Immediately,,,Send reminder
W20WNYC,Judy Mae White,38,Middle Aged,Male,Employed,New York,Engineer,Job Portal,01-05-2025,Offered,21-05-2025,30 Days,,,Follow up
QIU1NYC,Olivia Ann Rodriguez,36,Middle Aged,Male,Employed,New York,Engineer,Referral,27-04-2025,Joined,14-05-2025,Immediately,26-05-2025,,No Action
AP4ONYC,Ivan Moore,32,Middle Aged,Male,Employed,New York,Analyst,Job Portal,12-05-2025,Joined,29-05-2025,15 Days,12-06-2025,7,No Action
VR3GSGP,Emily Marie Smith,28,Young,Male,Unemployed,Singapore,Designer,Campus,18-05-2025,Interviewed,,,,14,Await Decision
7GV7NYC,Ava Lee Miller,23,Young,Male,Employed,New York,Manager,Internal,17-05-2025,Accepted,29-05-2025,30 Days,,,Send reminder
AC34NYC,Olivia Beth Martinez,38,Middle Aged,Non-Binary,Employed,New York,Analyst,Internal,26-04-2025,Accepted,10-05-2025,15 Days,,14,Send reminder
6N6MSGP,Heidi Scott White,27,Young,Non-Binary,Employed,Singapore,Engineer,Campus,01-05-2025,Interviewed,,,,,Await Decision
EC07NYC,David Dean Williams,42,Aging,Male,Unemployed,New York,Engineer,Referral,09-05-2025,Interviewed,,,,7,Await Decision
D3PFNYC,Ivan Lynn Moore,39,Middle Aged,Female,Employed,New York,Analyst,Internal,26-04-2025,Interviewed,,,,,Await Decision
VQ0XNYC,Charlie Thomas Davis,33,Middle Aged,Female,Unemployed,New York,Analyst,Job Portal,02-05-2025,Offered,13-05-2025,Immediately,,,Follow up
BE6PLON,Frank William Martinez,36,Middle Aged,Female,Employed,London,Analyst,Job Portal,06-05-2025,Joined,21-05-2025,30 Days,28-05-2025,,No Action
9XM8LON,James Drew Jones,32,Middle Aged,Female,Employed,London,Designer,Job Portal,18-05-2025,Joined,04-06-2025,30 Days,18-06-2025,,No Action
DGV6NYC,David William Clark,40,Middle Aged,Female,Employed,New York,Designer,Referral,29-04-2025,Offered,09-05-2025,15 Days,,,Follow up
XOWLLON,Michael Thomas Rodriguez,27,Young,Male,Employed,London,Manager,Referral,10-05-2025,Joined,25-05-2025,30 Days,08-06-2025,,No Action
N87GHYD,Heidi Thomas Garcia,27,Young,Male,Unemployed,Hyderabad,Analyst,Campus,16-05-2025,Offered,03-06-2025,Immediately,,,Follow up
DZPKNYC,Sophia Lynn Anderson,27,Young,Non-Binary,Employed,New York,Analyst,Job Portal,13-05-2025,Joined,31-05-2025,Immediately,07-06-2025,,No Action
ASR2SGP,Sophia Thomas Harris,42,Aging,Male,Unemployed,Singapore,Designer,Campus,05-05-2025,Offered,21-05-2025,Immediately,,,Follow up
QHZMHYD,Olivia Lynn Martin,22,Young,Female,Employed,Hyderabad,Analyst,Referral,26-04-2025,Interviewed,,,,,Await Decision
PR9ULON,Emily Elizabeth Moore,30,Middle Aged,Male,Employed,London,Manager,Job Portal,21-05-2025,Interviewed,,,,,Await Decision
YWKILON,Grace Ann Clark,39,Middle Aged,Male,Employed,London,Manager,Internal,24-04-2025,Offered,12-05-2025,15 Days,,,Follow up
7RITLON,Charlie Marie Garcia,23,Young,Female,Employed,London,Analyst,Campus,20-05-2025,Accepted,06-06-2025,15 Days,,,Send reminder
7H3DLON,David Martinez,40,Middle Aged,Male,Unemployed,London,Analyst,Campus,11-05-2025,Offered,29-05-2025,Immediately,,,Follow up
SG87SGP,David Mae Wilson,39,Middle Aged,Female,Employed,Singapore,Analyst,Internal,17-05-2025,Offered,03-06-2025,Immediately,,,Follow up
GF1RSGP,Ava Lee Moore,37,Middle Aged,Female,Employed,Singapore,Designer,Campus,20-05-2025,Interviewed,,,,,Await Decision
NRV6SGP,Daniel Lee Wilson,37,Middle Aged,Male,Unemployed,Singapore,Manager,Job Portal,21-05-2025,Offered,04-06-2025,15 Days,,,Follow up
RDTJNYC,Eve Marie Anderson,42,Aging,Non-Binary,Employed,New York,Designer,Referral,24-04-2025,Interviewed,,,,12,Await Decision
V74ULON,Sophia Grace Anderson,28,Young,Female,Employed,London,Manager,Referral,07-05-2025,Offered,17-05-2025,Immediately,,13,Follow up
I82CLON,Sophia Jones,45,Aging,Female,Unemployed,London,Analyst,Job Portal,11-05-2025,Offered,27-05-2025,30 Days,,,Follow up
M1IDHYD,Bob Elizabeth Robinson,43,Aging,Non-Binary,Employed,Hyderabad,Manager,Campus,08-05-2025,Offered,26-05-2025,30 Days,,,Follow up
USAZHYD,William Lee Miller,23,Young,Female,Student,Hyderabad,Designer,Job Portal,19-05-2025,Offered,30-05-2025,15 Days,,,Follow up
RREULON,Ivan Victoria White,31,Middle Aged,Non-Binary,Employed,London,Engineer,Internal,16-05-2025,Accepted,31-05-2025,Immediately,,,Send reminder
4OEANYC,Ivan Dean Moore,31,Middle Aged,Female,Unemployed,New York,Manager,Campus,10-05-2025,Offered,29-05-2025,15 Days,,,Follow up
X9R0SGP,James William Taylor,44,Aging,Male,Unemployed,Singapore,Designer,Campus,07-05-2025,Offered,20-05-2025,30 Days,,,Follow up
ZNL1SGP,Sophia Thomas Taylor,39,Middle Aged,Non-Binary,Unemployed,Singapore,Engineer,Campus,15-05-2025,Joined,30-05-2025,30 Days,11-06-2025,,No Action
VLGRHYD,Sarah Drew Jones,24,Young,Female,Employed,Hyderabad,Manager,Campus,22-05-2025,Joined,06-06-2025,15 Days,19-06-2025,,No Action
DMPUHYD,Michael Marie Smith,40,Middle Aged,Female,Unemployed,Hyderabad,Analyst,Referral,18-05-2025,Offered,06-06-2025,15 Days,,,Follow up
UL4QSGP,Judy Ray Robinson,34,Middle Aged,Male,Employed,Singapore,Manager,Internal,09-05-2025,Interviewed,,,,,Await Decision
LF5CSGP,Bob Jane Rodriguez,31,Middle Aged,Male,Employed,Singapore,Manager,Campus,11-05-2025,Offered,21-05-2025,Immediately,,,Follow up
6AJ7NYC,James William Jones,45,Aging,Male,Unemployed,New York,Analyst,Job Portal,15-05-2025,Offered,30-05-2025,15 Days,,,Follow up
3PLYHYD,David William Williams,38,Middle Aged,Female,Unemployed,Hyderabad,Analyst,Job Portal,15-05-2025,Offered,30-05-2025,15 Days,,,Follow up
GHIPHYD,Ivan Grace Clark,29,Young,Female,Employed,Hyderabad,Designer,Job Portal,15-05-2025,Accepted,29-05-2025,30 Days,,,Send reminder
CQRBLON,Diana Mae Garcia,34,Middle Aged,Female,Employed,London,Manager,Referral,22-05-2025,Offered,07-06-2025,30 Days,,,Follow up
BZ6DNYC,Sophia Victoria Jackson,24,Young,Female,Employed,New York,Engineer,Internal,10-05-2025,Interviewed,,,,,Await Decision
SDB1SGP,James Rose Jackson,37,Middle Aged,Male,Unemployed,Singapore,Engineer,Campus,11-05-2025,Offered,25-05-2025,15 Days,,,Follow up
VVTMHYD,William Lynn Taylor,32,Middle Aged,Female,Unemployed,Hyderabad,Designer,Job Portal,03-05-2025,Interviewed,,,,,Await Decision
VUV0HYD,Charlie Rose Thompson,33,Middle Aged,Male,Employed,Hyderabad,Analyst,Internal,28-04-2025,Interviewed,,,,,Await Decision
UTVXSGP,Judy Marie Jones,44,Aging,Male,Employed,Singapore,Engineer,Internal,28-04-2025,Offered,09-05-2025,Immediately,,,Follow up
SDHVSGP,David Rose Thompson,34,Middle Aged,Male,Employed,Singapore,Analyst,Internal,26-04-2025,Accepted,09-05-2025,15 Days,,,Send reminder
1QTAHYD,Judy Elizabeth Jackson,23,Young,Male,Employed,Hyderabad,Analyst,Referral,17-05-2025,Accepted,30-05-2025,15 Days,,,Send reminder
GH29NYC,Eve Scott Taylor,33,Middle Aged,Female,Employed,New York,Manager,Referral,07-05-2025,Accepted,21-05-2025,Immediately,,,Send reminder
3U94LON,Eve Marie Martin,29,Young,Male,Unemployed,London,Analyst,Internal,25-04-2025,Offered,09-05-2025,15 Days,,11,Follow up
254FNYC,Emily Elizabeth Jackson,41,Aging,Female,Unemployed,New York,Analyst,Job Portal,22-05-2025,Interviewed,,,,13,Await Decision
MKWBSGP,Ivan Drew Rodriguez,33,Middle Aged,Female,Employed,Singapore,Designer,Referral,03-05-2025,Offered,16-05-2025,30 Days,,,Follow up
H9IBHYD,Olivia Dean Davis,25,Young,Non-Binary,Employed,Hyderabad,Designer,Referral,18-05-2025,Offered,02-06-2025,Immediately,,,Follow up
8MF7SGP,Sarah Beth Thompson,45,Aging,Female,Employed,Singapore,Manager,Job Portal,22-05-2025,Accepted,04-06-2025,15 Days,,,Send reminder
QN0GHYD,Daniel Dean Miller,44,Aging,Male,Employed,Hyderabad,Manager,Referral,01-05-2025,Offered,11-05-2025,Immediately,,,Follow up
TMD6LON,Michael Louise Martinez,31,Middle Aged,Female,Employed,London,Analyst,Job Portal,27-04-2025,Offered,07-05-2025,15 Days,,,Follow up
2P2WHYD,Emily Sue Williams,33,Middle Aged,Male,Employed,Hyderabad,Designer,Campus,26-04-2025,Accepted,13-05-2025,30 Days,,,Send reminder
65WHLON,Grace William Martin,24,Young,Non-Binary,Unemployed,London,Engineer,Job Portal,18-05-2025,Joined,02-06-2025,Immediately,13-06-2025,12,No Action
GRZSSGP,Bob Lee Clark,34,Middle Aged,Female,Employed,Singapore,Engineer,Internal,17-05-2025,Joined,29-05-2025,Immediately,11-06-2025,,No Action
NHH0NYC,William Ann White,39,Middle Aged,Non-Binary,Employed,New York,Manager,Referral,09-05-2025,Accepted,29-05-2025,15 Days,,,Send reminder
39SHSGP,Diana Scott Smith,43,Aging,Male,Unemployed,Singapore,Analyst,Campus,12-05-2025,Accepted,22-05-2025,Immediately,,8,Send reminder
CEMHHYD,Emily Rose White,28,Young,Female,Unemployed,Hyderabad,Manager,Internal,29-04-2025,Offered,15-05-2025,15 Days,,,Follow up
Y05ENYC,David William Jackson,43,Aging,Female,Employed,New York,Manager,Job Portal,04-05-2025,Accepted,16-05-2025,15 Days,,8,Send reminder
E1Q4SGP,Frank Beth Jones,33,Middle Aged,Male,Unemployed,Singapore,Manager,Job Portal,19-05-2025,Interviewed,,,,,Await Decision
NEXILON,Emily William Taylor,23,Young,Male,Employed,London,Manager,Job Portal,16-05-2025,Offered,30-05-2025,15 Days,,,Follow up
BKAZHYD,Sophia Ann Miller,24,Young,Female,Unemployed,Hyderabad,Analyst,Campus,14-05-2025,Joined,30-05-2025,Immediately,11-06-2025,,No Action
